ID,easting,northing,z,Resistivity(ohm.m)
13,41667.392,204314.473,-2.7,3.446295
13,41667.392,204314.473,-2.6,3.99356
13,41667.392,204314.473,-2.5,4.298043333
13,41667.392,204314.473,-2.4,4.28591
13,41667.392,204314.473,-2.3,4.99273
13,41667.392,204314.473,-2.2,4.63399
13,41667.392,204314.473,-2.1,5.577715
13,41667.392,204314.473,-2,5.80901
13,41667.392,204314.473,-1.9,6.015755
13,41667.392,204314.473,-1.8,6.358485
13,41667.392,204314.473,-1.7,6.774055
13,41667.392,204314.473,-1.6,7.679233333
13,41667.392,204314.473,-1.5,7.89785
13,41667.392,204314.473,-1.4,8.746353333
13,41667.392,204314.473,-1.3,9.403666667
13,41667.392,204314.473,-1.2,9.728356667
13,41667.392,204314.473,-1.1,10.4682725
13,41667.392,204314.473,-1,11.27877
13,41667.392,204314.473,-0.9,12.027515
13,41667.392,204314.473,-0.8,13.303828
13,41667.392,204314.473,-0.7,15.25069333
13,41667.392,204314.473,-0.6,17.12397667
13,41667.392,204314.473,-0.5,19.8496375
13,41667.392,204314.473,-0.4,22.444435
13,41667.392,204314.473,-0.3,24.93556143
13,41667.392,204314.473,-0.1,28.15055125
14,41667.584,204314.011,-4.9,1.3871
14,41667.584,204314.011,-4.8,1.482476667
14,41667.584,204314.011,-4.6,1.533316667
14,41667.584,204314.011,-4.5,1.44935
14,41667.584,204314.011,-4.4,1.65018
14,41667.584,204314.011,-4.3,1.50776
14,41667.584,204314.011,-4.2,1.649775
14,41667.584,204314.011,-4,1.810533333
14,41667.584,204314.011,-3.8,1.896895
14,41667.584,204314.011,-3.7,1.88521
14,41667.584,204314.011,-3.6,2.12718
14,41667.584,204314.011,-3.5,2.101645
14,41667.584,204314.011,-3.4,2.336585
14,41667.584,204314.011,-3.3,2.41988
14,41667.584,204314.011,-3.2,2.49679
14,41667.584,204314.011,-3.1,2.64194
14,41667.584,204314.011,-3,2.69707
14,41667.584,204314.011,-2.9,2.86069
14,41667.584,204314.011,-2.8,2.970835
14,41667.584,204314.011,-2.7,3.446295
14,41667.584,204314.011,-2.6,3.388493333
14,41667.584,204314.011,-2.5,3.65044
14,41667.584,204314.011,-2.4,3.954333333
14,41667.584,204314.011,-2.3,3.82435
14,41667.584,204314.011,-2.2,4.54836
14,41667.584,204314.011,-2.1,4.759055
14,41667.584,204314.011,-2,4.94667
14,41667.584,204314.011,-1.9,5.82397
14,41667.584,204314.011,-1.8,5.349375
14,41667.584,204314.011,-1.7,6.40968
14,41667.584,204314.011,-1.6,6.6213
14,41667.584,204314.011,-1.5,6.648786667
14,41667.584,204314.011,-1.4,8.18114
14,41667.584,204314.011,-1.3,9.05416
14,41667.584,204314.011,-1.2,8.823715
14,41667.584,204314.011,-1.1,9.67027
14,41667.584,204314.011,-1,11.282235
14,41667.584,204314.011,-0.9,11.21887667
14,41667.584,204314.011,-0.8,13.252005
14,41667.584,204314.011,-0.7,15.01762667
14,41667.584,204314.011,-0.6,17.13195
14,41667.584,204314.011,-0.5,20.5953775
14,41667.584,204314.011,-0.4,21.99948333
14,41667.584,204314.011,-0.3,24.79547
14,41667.584,204314.011,-0.2,21.44805
14,41667.584,204314.011,-0.1,22.32515
15,41667.776,204313.55,-4.9,1.325545
15,41667.776,204313.55,-4.8,1.347546667
15,41667.776,204313.55,-4.6,1.426195
15,41667.776,204313.55,-4.5,1.412646667
15,41667.776,204313.55,-4.3,1.492595
15,41667.776,204313.55,-4.2,1.568535
15,41667.776,204313.55,-4.1,1.48439
15,41667.776,204313.55,-4,1.648715
15,41667.776,204313.55,-3.9,1.5383
15,41667.776,204313.55,-3.8,1.71364
15,41667.776,204313.55,-3.7,1.88521
15,41667.776,204313.55,-3.6,1.84886
15,41667.776,204313.55,-3.5,2.101645
15,41667.776,204313.55,-3.4,1.95472
15,41667.776,204313.55,-3.3,2.2229
15,41667.776,204313.55,-3.2,2.22255
15,41667.776,204313.55,-3.1,2.36343
15,41667.776,204313.55,-3,2.4111
15,41667.776,204313.55,-2.9,2.437575
15,41667.776,204313.55,-2.8,2.92474
