Z,Resistivity(ohm.m),easting,northing,nb_electrode
-2.7,5.88926375,41666.242,204317.244,7.0
-2.6,6.068935555555555,41666.242,204317.244,7.0
-2.5,6.36102,41666.242,204317.244,7.0
-2.4,6.771412222222222,41666.242,204317.244,7.0
-2.3,6.84575,41666.242,204317.244,7.0
-2.2,7.302918181818182,41666.242,204317.244,7.0
-2.1,7.665509999999999,41666.242,204317.244,7.0
-2.0,8.019433,41666.242,204317.244,7.0
-1.9,8.494283,41666.242,204317.244,7.0
-1.8,8.919834444444444,41666.242,204317.244,7.0
-1.7,9.514421666666667,41666.242,204317.244,7.0
-1.6,10.070335833333333,41666.242,204317.244,7.0
-1.5,10.555259090909091,41666.242,204317.244,7.0
-1.4,11.31647923076923,41666.242,204317.244,7.0
-1.3,12.276632142857142,41666.242,204317.244,7.0
-1.2,13.360496153846155,41666.242,204317.244,7.0
-1.1,14.348691428571428,41666.242,204317.244,7.0
-1.0,15.455472307692308,41666.242,204317.244,7.0
-0.9,16.81507733333333,41666.242,204317.244,7.0
-0.8,18.1763,41666.242,204317.244,7.0
-0.7,19.44211529411765,41666.242,204317.244,7.0
-0.6,21.000763809523807,41666.242,204317.244,7.0
-0.5,22.709903333333333,41666.242,204317.244,7.0
-0.4,23.894645,41666.242,204317.244,7.0
-0.3,24.731823888888886,41666.242,204317.244,7.0
-0.2,26.297724736842106,41666.242,204317.244,7.0
-0.1,27.949305454545456,41666.242,204317.244,7.0
-0.0,31.937144615384618,41666.242,204317.244,7.0
-4.9,2.91303375,41666.434,204316.782,8.0
-4.8,2.80724,41666.434,204316.782,8.0
-4.7,3.004404,41666.434,204316.782,8.0
-4.6,3.05632,41666.434,204316.782,8.0
-4.5,3.1884916666666663,41666.434,204316.782,8.0
-4.4,3.2266779999999997,41666.434,204316.782,8.0
-4.3,3.3259999999999996,41666.434,204316.782,8.0
-4.2,3.385936,41666.434,204316.782,8.0
-4.1,3.5556080000000003,41666.434,204316.782,8.0
-4.0,3.496715,41666.434,204316.782,8.0
-3.9,3.74545,41666.434,204316.782,8.0
-3.8,3.718847142857143,41666.434,204316.782,8.0
-3.7,3.8919360000000003,41666.434,204316.782,8.0
-3.6,3.9515242857142856,41666.434,204316.782,8.0
-3.5,4.052106,41666.434,204316.782,8.0
-3.4,4.216313333333333,41666.434,204316.782,8.0
-3.3,4.398686666666666,41666.434,204316.782,8.0
-3.2,4.538653333333333,41666.434,204316.782,8.0
-3.1,4.573186666666667,41666.434,204316.782,8.0
-3.0,4.890442857142857,41666.434,204316.782,8.0
-2.9,5.100652857142857,41666.434,204316.782,8.0
-2.8,5.1867525,41666.434,204316.782,8.0
-2.7,5.500171428571428,41666.434,204316.782,8.0
-2.6,5.656338888888889,41666.434,204316.782,8.0
-2.5,5.9993925,41666.434,204316.782,8.0
-2.4,6.150295555555555,41666.434,204316.782,8.0
-2.3,6.459794,41666.434,204316.782,8.0
-2.2,6.877294999999999,41666.434,204316.782,8.0
-2.1,7.170144444444444,41666.434,204316.782,8.0
-2.0,7.624361,41666.434,204316.782,8.0
-1.9,8.00354,41666.434,204316.782,8.0
-1.8,8.583912727272727,41666.434,204316.782,8.0
-1.7,9.149713636363636,41666.434,204316.782,8.0
-1.6,9.728201818181818,41666.434,204316.782,8.0
-1.5,10.394759166666667,41666.434,204316.782,8.0
-1.4,11.188186153846154,41666.434,204316.782,8.0
-1.3,12.140497857142858,41666.434,204316.782,8.0
-1.2,13.232278666666668,41666.434,204316.782,8.0
-1.1,14.439319999999999,41666.434,204316.782,8.0
-1.0,15.730136153846153,41666.434,204316.782,8.0
-0.9,17.12150642857143,41666.434,204316.782,8.0
-0.8,18.801031333333334,41666.434,204316.782,8.0
-0.7,20.38806875,41666.434,204316.782,8.0
-0.6,22.242875263157895,41666.434,204316.782,8.0
-0.5,23.51484368421053,41666.434,204316.782,8.0
-0.4,24.3561075,41666.434,204316.782,8.0
-0.3,25.08438611111111,41666.434,204316.782,8.0
-0.2,25.708012857142855,41666.434,204316.782,8.0
-0.1,26.387703333333334,41666.434,204316.782,8.0
-0.0,30.70816076923077,41666.434,204316.782,8.0
-4.9,2.6841666666666666,41666.625,204316.32,9.0
-4.8,2.7119866666666668,41666.625,204316.32,9.0
-4.7,2.8203983333333333,41666.625,204316.32,9.0
-4.6,2.807125,41666.625,204316.32,9.0
-4.5,2.9575866666666664,41666.625,204316.32,9.0
-4.4,2.927544,41666.625,204316.32,9.0
-4.3,3.1153983333333333,41666.625,204316.32,9.0
-4.2,3.112908,41666.625,204316.32,9.0
-4.1,3.226054,41666.625,204316.32,9.0
-4.0,3.3005714285714283,41666.625,204316.32,9.0
-3.9,3.3666519999999998,41666.625,204316.32,9.0
-3.8,3.4514628571428574,41666.625,204316.32,9.0
-3.7,3.52684,41666.625,204316.32,9.0
-3.6,3.716005714285714,41666.625,204316.32,9.0
-3.5,3.729505,41666.625,204316.32,9.0
-3.4,3.9290983333333336,41666.625,204316.32,9.0
-3.3,4.02235,41666.625,204316.32,9.0
-3.2,4.186153333333333,41666.625,204316.32,9.0
-3.1,4.3271942857142855,41666.625,204316.32,9.0
-3.0,4.470267142857143,41666.625,204316.32,9.0
-2.9,4.715247142857143,41666.625,204316.32,9.0
-2.8,4.8894649999999995,41666.625,204316.32,9.0
-2.7,5.04629,41666.625,204316.32,9.0
-2.6,5.283055,41666.625,204316.32,9.0
-2.5,5.485794285714285,41666.625,204316.32,9.0
-2.4,5.838376363636363,41666.625,204316.32,9.0
-2.3,6.191938888888888,41666.625,204316.32,9.0
-2.2,6.409515555555555,41666.625,204316.32,9.0
-2.1,6.738906363636364,41666.625,204316.32,9.0
-2.0,7.205259,41666.625,204316.32,9.0
-1.9,7.66815,41666.625,204316.32,9.0
-1.8,8.182812222222221,41666.625,204316.32,9.0
-1.7,8.726756666666667,41666.625,204316.32,9.0
-1.6,9.415953333333333,41666.625,204316.32,9.0
-1.5,10.094333076923077,41666.625,204316.32,9.0
-1.4,10.763000769230768,41666.625,204316.32,9.0
-1.3,11.630089285714286,41666.625,204316.32,9.0
-1.2,12.76989125,41666.625,204316.32,9.0
-1.1,13.697624,41666.625,204316.32,9.0
-1.0,14.868060714285715,41666.625,204316.32,9.0
-0.9,16.121435714285713,41666.625,204316.32,9.0
-0.8,17.844535294117648,41666.625,204316.32,9.0
-0.7,19.1240225,41666.625,204316.32,9.0
-0.6,20.60822380952381,41666.625,204316.32,9.0
-0.5,21.53398736842105,41666.625,204316.32,9.0
-0.4,21.998976470588236,41666.625,204316.32,9.0
-0.3,22.79536947368421,41666.625,204316.32,9.0
-0.2,23.052660499999998,41666.625,204316.32,9.0
-0.1,23.531881481481484,41666.625,204316.32,9.0
-0.0,25.300545454545453,41666.625,204316.32,9.0
-4.9,2.506801111111111,41666.817,204315.858,10.0
-4.8,2.6643600000000003,41666.817,204315.858,10.0
-4.7,2.6117966666666668,41666.817,204315.858,10.0
-4.6,2.58211,41666.817,204315.858,10.0
-4.5,2.7117283333333333,41666.817,204315.858,10.0
-4.4,2.7837775000000002,41666.817,204315.858,10.0
-4.3,2.8552066666666662,41666.817,204315.858,10.0
-4.2,2.8970800000000003,41666.817,204315.858,10.0
-4.1,2.965245,41666.817,204315.858,10.0
-4.0,3.014068333333333,41666.817,204315.858,10.0
-3.9,3.0921366666666668,41666.817,204315.858,10.0
-3.8,3.19639,41666.817,204315.858,10.0
-3.7,3.2389833333333335,41666.817,204315.858,10.0
-3.6,3.4099983333333337,41666.817,204315.858,10.0
-3.5,3.423306666666667,41666.817,204315.858,10.0
-3.4,3.6195733333333333,41666.817,204315.858,10.0
-3.3,3.7380557142857143,41666.817,204315.858,10.0
-3.2,3.867058333333333,41666.817,204315.858,10.0
-3.1,3.964992857142857,41666.817,204315.858,10.0
-3.0,4.173185714285714,41666.817,204315.858,10.0
-2.9,4.41776375,41666.817,204315.858,10.0
-2.8,4.485104285714286,41666.817,204315.858,10.0
-2.7,4.79067375,41666.817,204315.858,10.0
-2.6,4.962724285714286,41666.817,204315.858,10.0
-2.5,5.19307,41666.817,204315.858,10.0
-2.4,5.465300909090909,41666.817,204315.858,10.0
-2.3,5.80606875,41666.817,204315.858,10.0
-2.2,6.037339,41666.817,204315.858,10.0
-2.1,6.439409,41666.817,204315.858,10.0
-2.0,6.7667525,41666.817,204315.858,10.0
-1.9,7.178908333333333,41666.817,204315.858,10.0
-1.8,7.714535555555555,41666.817,204315.858,10.0
-1.7,8.283594545454546,41666.817,204315.858,10.0
-1.6,8.96565111111111,41666.817,204315.858,10.0
-1.5,9.535815,41666.817,204315.858,10.0
-1.4,10.309593846153847,41666.817,204315.858,10.0
-1.3,11.209474615384616,41666.817,204315.858,10.0
-1.2,12.120986153846154,41666.817,204315.858,10.0
-1.1,13.159389333333333,41666.817,204315.858,10.0
-1.0,14.404929999999998,41666.817,204315.858,10.0
-0.9,15.913277647058822,41666.817,204315.858,10.0
-0.8,17.544288125,41666.817,204315.858,10.0
-0.7,19.095325714285714,41666.817,204315.858,10.0
-0.6,20.260582222222222,41666.817,204315.858,10.0
-0.5,21.432433333333332,41666.817,204315.858,10.0
-0.4,22.648311111111113,41666.817,204315.858,10.0
-0.3,23.500592,41666.817,204315.858,10.0
-0.2,23.386267368421052,41666.817,204315.858,10.0
-0.1,22.983014782608695,41666.817,204315.858,10.0
-0.0,23.00632153846154,41666.817,204315.858,10.0
-4.9,2.3033533333333334,41667.009,204315.397,11.0
-4.7,2.390974285714286,41667.009,204315.397,11.0
-4.6,2.38598,41667.009,204315.397,11.0
-4.5,2.495395,41667.009,204315.397,11.0
-4.4,2.47601,41667.009,204315.397,11.0
-4.3,2.578245714285714,41667.009,204315.397,11.0
-4.2,2.6651160000000003,41667.009,204315.397,11.0
-4.1,2.6796457142857144,41667.009,204315.397,11.0
-4.0,2.8342025,41667.009,204315.397,11.0
-3.9,2.81282,41667.009,204315.397,11.0
-3.8,2.9086480000000003,41667.009,204315.397,11.0
-3.7,2.946391666666667,41667.009,204315.397,11.0
-3.6,3.1061366666666665,41667.009,204315.397,11.0
-3.5,3.1374257142857145,41667.009,204315.397,11.0
-3.4,3.364696,41667.009,204315.397,11.0
-3.3,3.360465714285714,41667.009,204315.397,11.0
-3.2,3.524388333333333,41667.009,204315.397,11.0
-3.1,3.66261,41667.009,204315.397,11.0
-3.0,3.75353,41667.009,204315.397,11.0
-2.9,4.0395175,41667.009,204315.397,11.0
-2.8,4.140858571428572,41667.009,204315.397,11.0
-2.7,4.349838571428571,41667.009,204315.397,11.0
-2.6,4.50037125,41667.009,204315.397,11.0
-2.5,4.779211428571429,41667.009,204315.397,11.0
-2.4,5.060433636363636,41667.009,204315.397,11.0
-2.3,5.32555625,41667.009,204315.397,11.0
-2.2,5.573291,41667.009,204315.397,11.0
-2.1,5.95163,41667.009,204315.397,11.0
-2.0,6.23347875,41667.009,204315.397,11.0
-1.9,6.723104166666666,41667.009,204315.397,11.0
-1.8,7.181508888888889,41667.009,204315.397,11.0
-1.7,7.723881818181818,41667.009,204315.397,11.0
-1.6,8.207414,41667.009,204315.397,11.0
