Z,Resistivity(ohm.m),easting,northing,ID
-1.1,10.894563333333332,107763.916,183306.477,11.0
-1.0,12.99944,107763.916,183306.477,11.0
-0.9,16.566546666666664,107763.916,183306.477,11.0
-0.8,20.552275,107763.916,183306.477,11.0
-0.7,26.0822775,107763.916,183306.477,11.0
-0.6,33.1292375,107763.916,183306.477,11.0
-0.5,40.96257666666667,107763.916,183306.477,11.0
-0.4,49.80945333333333,107763.916,183306.477,11.0
-0.3,55.6676,107763.916,183306.477,11.0
-0.2,60.31169,107763.916,183306.477,11.0
-0.1,62.1240225,107763.916,183306.477,11.0
-0.0,61.893315,107763.916,183306.477,11.0
-4.3,29.35117,107764.197,183306.064,12.0
-4.2,28.73755,107764.197,183306.064,12.0
-4.1,27.81588,107764.197,183306.064,12.0
-3.9,26.449475,107764.197,183306.064,12.0
-3.8,25.12003,107764.197,183306.064,12.0
-3.7,24.78841,107764.197,183306.064,12.0
-3.6,23.342875,107764.197,183306.064,12.0
-3.5,21.8395,107764.197,183306.064,12.0
-3.4,21.37745,107764.197,183306.064,12.0
-3.3,20.17076,107764.197,183306.064,12.0
-3.2,19.61807,107764.197,183306.064,12.0
-3.1,18.12845,107764.197,183306.064,12.0
-3.0,16.66211,107764.197,183306.064,12.0
-2.9,16.19047,107764.197,183306.064,12.0
-2.8,15.09126,107764.197,183306.064,12.0
-2.7,14.44268,107764.197,183306.064,12.0
-2.6,13.194285,107764.197,183306.064,12.0
-2.5,12.04901,107764.197,183306.064,12.0
-2.4,11.47422,107764.197,183306.064,12.0
-2.3,10.443246666666667,107764.197,183306.064,12.0
-2.2,9.664169999999999,107764.197,183306.064,12.0
-2.1,9.08994,107764.197,183306.064,12.0
-2.0,8.570475,107764.197,183306.064,12.0
-1.9,8.082866666666668,107764.197,183306.064,12.0
-1.8,7.5751833333333325,107764.197,183306.064,12.0
-1.7,7.345953333333334,107764.197,183306.064,12.0
-1.6,7.244005,107764.197,183306.064,12.0
-1.5,7.32314,107764.197,183306.064,12.0
-1.4,7.61308,107764.197,183306.064,12.0
-1.3,8.1076225,107764.197,183306.064,12.0
-1.2,9.211173333333333,107764.197,183306.064,12.0
-1.1,10.27685,107764.197,183306.064,12.0
-1.0,12.10149,107764.197,183306.064,12.0
-0.9,14.811685,107764.197,183306.064,12.0
